customer_id,customer_name,currency_id,currency_code,current,days_1-15,days_16-30,days_31-45,days_above-45,total,fcy_total,contact.CF.SALESMAN,contact.CF.ROUTE,contact.CF.ROUTE DAY
4035182000000184713,"Seenu Spares , Pichatur",4035182000000000099,INR,27394.00,0.00,4400.00,4890.00,7279.00,43963.00,43963.00,NETHAJI,PICHATUR,MONDAY
4035182000000184874,"SGM Enterprises, Akkrampalli-TPT",4035182000000000099,INR,0.00,0.00,0.00,0.00,1546.52,1546.52,1546.52,SHAHEEN,TIRUPATI,THURSDAY
4035182000000199555,"SHAFI AUTO MOBILES , NIMMANAPALLI ( MPL )",4035182000000000099,INR,0.00,0.00,0.00,0.00,142.00,142.00,142.00,RAJESH,NIMMANAPALLI,THURSDAY
4035182000000184957,Shahina Account,4035182000000000099,INR,0.00,0.00,0.00,0.00,16160.00,16160.00,16160.00,SHAHEEN,TIRUPATI,MONDAY
4035182000022229673,"SHAIK BAVAJAN PUNCTURE SHOP , MPL",4035182000000000099,INR,0.00,0.00,0.00,0.00,10387.00,10387.00,10387.00,RAJESH,MADANAPALLE,THURSDAY
4035182000009459049,"SHAIK SHAFI ,SKHT",4035182000000000099,INR,0.00,74484.00,17137.00,0.00,0.00,91621.00,91621.00,NETHAJI,SRIKALAHASTHI,WEDNESDAY
4035182000000185040,"Shajahan Auto Spares , Rompicherla",4035182000000000099,INR,0.00,0.00,0.00,0.00,42479.00,42479.00,42479.00,VINOD,ROMPICHERLA,THURSDAY
4035182000000238815,"Shajahan Cycle Store, Renigunta",4035182000000000099,INR,0.00,0.00,0.00,3610.00,0.00,3610.00,3610.00,NETHAJI,RENIGUNTA,SATURDAY
4035182000000185123,Shankar Reddy,4035182000000000099,INR,0.00,0.00,0.00,0.00,8568.00,8568.00,8568.00,SURESH SIR,VARADAYAPALEM,MONDAY
4035182000000185538,Shiva Traders Tpt,4035182000000000099,INR,0.00,0.00,0.00,0.00,22939.00,22939.00,22939.00,SHAHEEN,TIRUPATI,THURSDAY
4035182000030050774,"SHOBHA ENTERPRISES , YERRAVARIPALEM",4035182000000000099,INR,0.00,57139.00,654.00,0.00,0.00,57793.00,57793.00,RAJESH,YERRAVARIPALEM,THURSDAY
4035182000000185626,Shree Nandhana Auto Spares Puttur,4035182000000000099,INR,5979.00,21009.00,0.00,0.00,250.00,27238.00,27238.00,NETHAJI,PUTTUR,MONDAY
4035182000000185714,"Shri Jaya Maruthi Enterprises, Chittoor",4035182000000000099,INR,0.00,0.00,55500.00,0.00,29499.00,84999.00,84999.00,CHIRANJEEVI,CHITTOOR,TUESDAY
4035182000019042945,"SHRI TYRES, SULLURPETA",4035182000000000099,INR,0.00,23700.00,25741.00,24639.00,0.00,74080.00,74080.00,VINOD,SULLURPETA,WEDNESDAY
4035182000000185802,"Sibar Autoparts Ltd, Tpt",4035182000000000099,INR,0.00,0.00,0.00,0.00,30529.01,30529.01,30529.01,SUJAY,TIRUPATI,MONDAY
4035182000026699052,"SIDDA TYRES , TPT",4035182000000000099,INR,0.00,0.00,0.00,0.00,11306.00,11306.00,11306.00,VINOD,TIRUPATI,MONDAY
4035182000000185890,"Sikandar  Auto Mobiles,Ramasamudram",4035182000000000099,INR,0.00,0.00,0.00,0.00,7628.00,7628.00,7628.00,RAJESH,RAMASAMUDRAM,WEDNESDAY
4035182000025073543,"SINGHAL PETROLEUMS, HYD",4035182000000000099,INR,0.00,0.00,0.00,0.00,280059.00,280059.00,280059.00,SURESH SIR,HYDERABAD,MONDAY
4035182000000238848,SIVA MOTORS (HONDA SHOWROOM) CHITTOOR,4035182000000000099,INR,0.00,13507.00,0.00,0.00,0.00,13507.00,13507.00,CHIRANJEEVI,CHITTOOR,TUESDAY
4035182000000185973,Siva Tyres Chittoor,4035182000000000099,INR,0.00,0.00,0.00,20000.00,5596.66,25596.66,25596.66,CHIRANJEEVI,CHITTOOR,TUESDAY
4035182000000186061,"SIVANI MULTY TYRES, Pakala",4035182000000000099,INR,0.00,0.00,0.00,0.00,1929.00,1929.00,1929.00,NETHAJI,PAKALA,TUESDAY
4035182000024857039,"SK PUNCTURE SHOP , NAIDUPETA",4035182000000000099,INR,0.00,25242.00,0.00,0.00,0.00,25242.00,25242.00,VINOD,NAIDUPETA,SATURDAY
4035182000007885373,"SK TYRE CENTRE , V.GIRI",4035182000000000099,INR,0.00,0.00,76898.00,0.00,7628.00,84526.00,84526.00,VINOD,VENKATAGIRI,SATURDAY
4035182000000186149,SKS Tyre Shop Renigunta,4035182000000000099,INR,0.00,0.00,0.00,0.00,1496.00,1496.00,1496.00,NETHAJI,RENIGUNTA,SATURDAY
4035182000000186237,SMA Lubricants V kota,4035182000000000099,INR,0.00,15750.00,0.00,0.00,400.00,16150.00,16150.00,CHIRANJEEVI,V KOTA,SATURDAY
4035182000000186320,Smk  Auto Mobiles   Kuppam,4035182000000000099,INR,0.00,23036.00,0.00,0.00,0.00,23036.00,23036.00,CHIRANJEEVI,KUPPAM,FRIDAY
4035182000002371885,SNR Auto Mobiles  Baireddipalli,4035182000000000099,INR,0.00,6357.00,0.00,0.00,0.00,6357.00,6357.00,CHIRANJEEVI,BAIREDDYPALLI,SATURDAY
4035182000002096001,"Soniya Scooter Mechanic , Vootlavaripalli ( Pakala)",4035182000000000099,INR,0.00,8763.00,0.00,0.00,0.00,8763.00,8763.00,NETHAJI,PAKALA,TUESDAY
4035182000000186408,"Southern Power Distribution Company of Ap Ltd, Tpt",4035182000000000099,INR,0.00,0.00,0.00,0.00,157246.00,157246.00,157246.00,SURESH SIR,TIRUPATI,MONDAY
